epoch,lr,train_loss,val_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
34,0.0001,2.2199656416972484,2.2203376943414863,1733580102,checkpoint_000034,True,False,35,4a35b_00000,2024-12-07_14-01-42,6.017982482910156,207.0599467754364,12070,519fe39d5365,172.28.0.12,207.0599467754364,35
35,0.0001,2.2171353337665396,2.218223105777394,1733580109,checkpoint_000035,True,False,36,4a35b_00000,2024-12-07_14-01-49,6.763286828994751,213.82323360443115,12070,519fe39d5365,172.28.0.12,213.82323360443115,36
36,0.0001,2.2143375861148047,2.216175642880527,1733580114,checkpoint_000036,True,False,37,4a35b_00000,2024-12-07_14-01-54,5.2740373611450195,219.09727096557617,12070,519fe39d5365,172.28.0.12,219.09727096557617,37
37,0.0001,2.211722997327646,2.214128385890614,1733580120,checkpoint_000037,True,False,38,4a35b_00000,2024-12-07_14-02-00,5.822865724563599,224.92013669013977,12070,519fe39d5365,172.28.0.12,224.92013669013977,38
38,0.0001,2.209021832793951,2.2121450792659414,1733580126,checkpoint_000038,True,False,39,4a35b_00000,2024-12-07_14-02-06,5.767455816268921,230.6875925064087,12070,519fe39d5365,172.28.0.12,230.6875925064087,39
39,0.0001,2.2065731709202128,2.210157979618419,1733580131,checkpoint_000039,True,False,40,4a35b_00000,2024-12-07_14-02-11,5.354542016983032,236.04213452339172,12070,519fe39d5365,172.28.0.12,236.04213452339172,40
40,0.0001,2.204025074839593,2.2082577943801884,1733580137,checkpoint_000040,True,False,41,4a35b_00000,2024-12-07_14-02-18,6.202029466629028,242.24416399002075,12070,519fe39d5365,172.28.0.12,242.24416399002075,41
41,0.0001,2.2017360093692937,2.2064020850441675,1733580143,checkpoint_000041,True,False,42,4a35b_00000,2024-12-07_14-02-23,5.419492721557617,247.66365671157837,12070,519fe39d5365,172.28.0.12,247.66365671157837,42
42,0.0001,2.1994793166716895,2.2045574838464908,1733580148,checkpoint_000042,True,False,43,4a35b_00000,2024-12-07_14-02-28,5.380617380142212,253.04427409172058,12070,519fe39d5365,172.28.0.12,253.04427409172058,43
43,0.0001,2.197179229309162,2.2027685317126187,1733580154,checkpoint_000043,True,False,44,4a35b_00000,2024-12-07_14-02-34,6.00297212600708,259.04724621772766,12070,519fe39d5365,172.28.0.12,259.04724621772766,44
44,0.0001,2.1949401336411642,2.2010306661779233,1733580160,checkpoint_000044,True,False,45,4a35b_00000,2024-12-07_14-02-40,5.324383735656738,264.3716299533844,12070,519fe39d5365,172.28.0.12,264.3716299533844,45
45,0.0001,2.1929023663202925,2.199324304407293,1733580166,checkpoint_000045,True,False,46,4a35b_00000,2024-12-07_14-02-46,6.120328187942505,270.4919581413269,12070,519fe39d5365,172.28.0.12,270.4919581413269,46
46,0.0001,2.1908420796195682,2.197669657793912,1733580172,checkpoint_000046,True,False,47,4a35b_00000,2024-12-07_14-02-52,5.622724294662476,276.1146824359894,12070,519fe39d5365,172.28.0.12,276.1146824359894,47
47,0.0001,2.1888927593827243,2.196047154339877,1733580177,checkpoint_000047,True,False,48,4a35b_00000,2024-12-07_14-02-57,5.343150854110718,281.4578332901001,12070,519fe39d5365,172.28.0.12,281.4578332901001,48
48,0.0001,2.1869902461767197,2.1944807551123877,1733580183,checkpoint_000048,True,False,49,4a35b_00000,2024-12-07_14-03-03,6.238245248794556,287.69607853889465,12070,519fe39d5365,172.28.0.12,287.69607853889465,49
49,0.0001,2.1852911971509466,2.1928963986310093,1733580189,checkpoint_000049,True,False,50,4a35b_00000,2024-12-07_14-03-09,5.309168815612793,293.00524735450745,12070,519fe39d5365,172.28.0.12,293.00524735450745,50
50,0.0001,2.1833435843388247,2.1913687640970405,1733580195,checkpoint_000050,True,False,51,4a35b_00000,2024-12-07_14-03-15,5.876134634017944,298.8813819885254,12070,519fe39d5365,172.28.0.12,298.8813819885254,51
51,0.0001,2.18162177875638,2.1898976781151513,1733580200,checkpoint_000051,True,False,52,4a35b_00000,2024-12-07_14-03-20,5.72392725944519,304.6053092479706,12070,519fe39d5365,172.28.0.12,304.6053092479706,52
52,0.0001,2.1799734731515237,2.1884493069215254,1733580206,checkpoint_000052,True,False,53,4a35b_00000,2024-12-07_14-03-26,5.2589271068573,309.8642363548279,12070,519fe39d5365,172.28.0.12,309.8642363548279,53
53,0.0001,2.178290082762639,2.1870588931170385,1733580212,checkpoint_000053,True,False,54,4a35b_00000,2024-12-07_14-03-32,6.14622163772583,316.0104579925537,12070,519fe39d5365,172.28.0.12,316.0104579925537,54
54,0.0001,2.1767681936422987,2.185663635080511,1733580217,checkpoint_000054,True,False,55,4a35b_00000,2024-12-07_14-03-37,5.537909030914307,321.548367023468,12070,519fe39d5365,172.28.0.12,321.548367023468,55
55,0.0001,2.1751648895442486,2.1843457872217353,1733580223,checkpoint_000055,True,False,56,4a35b_00000,2024-12-07_14-03-43,5.338089466094971,326.886456489563,12070,519fe39d5365,172.28.0.12,326.886456489563,56
56,0.0001,2.173849931607644,2.1829132817008277,1733580229,checkpoint_000056,True,False,57,4a35b_00000,2024-12-07_14-03-49,5.979723691940308,332.8661801815033,12070,519fe39d5365,172.28.0.12,332.8661801815033,57
57,0.0001,2.172099826236566,2.181802056052468,1733580234,checkpoint_000057,True,False,58,4a35b_00000,2024-12-07_14-03-54,5.387596607208252,338.25377678871155,12070,519fe39d5365,172.28.0.12,338.25377678871155,58
58,0.0001,2.1709927010039487,2.1803440397435967,1733580240,checkpoint_000058,True,False,59,4a35b_00000,2024-12-07_14-04-00,5.950995445251465,344.204772233963,12070,519fe39d5365,172.28.0.12,344.204772233963,59
59,0.0001,2.1693238541483875,2.1793223294344815,1733580246,checkpoint_000059,True,False,60,4a35b_00000,2024-12-07_14-04-06,5.63480544090271,349.8395776748657,12070,519fe39d5365,172.28.0.12,349.8395776748657,60
